repeatIndex,nodes,tasksPerNode,chunkSize,chunksPerTask,direct,filesystem,singleFile,repeat,stripes,operation,alignment,strided,randomStrided,bandwidth,dataSize,tasks
0,10,24,1024,4096,True,vast,False,10,1,write,4096,False,False,86.44393282055063,1106.804644422573,240
0,10,24,1024,4096,True,vast,False,10,1,write,4096,False,False,86.98265878789812,1106.804644422573,240
0,10,24,1024,4096,True,vast,False,10,1,write,4096,False,False,86.54417707796999,1106.804644422573,240
0,10,24,1024,4096,True,vast,False,10,1,write,4096,False,False,85.81347995080174,1106.804644422573,240
0,10,24,1024,4096,True,vast,False,10,1,write,4096,False,False,83.63633627104997,1106.804644422573,240
0,10,24,1024,4096,True,vast,False,10,1,write,4096,False,False,85.54036532672245,1106.804644422573,240
0,10,24,1024,4096,True,vast,False,10,1,write,4096,False,False,82.42524289118268,1106.804644422573,240
0,10,24,1024,4096,True,vast,False,10,1,write,4096,False,False,90.3394405675255,1106.804644422573,240
0,8,24,4,4096,False,vast,False,10,1,write,4096,False,False,24.317699214245458,3.4587645138205407,192
0,8,24,4,4096,False,vast,False,10,1,write,4096,False,False,32.1610485418646,3.4587645138205407,192
0,8,24,4,4096,False,vast,False,10,1,write,4096,False,False,27.778236737566836,3.4587645138205407,192
0,8,24,4,4096,False,vast,False,10,1,write,4096,False,False,17.487749264045885,3.4587645138205407,192
0,8,24,4,4096,False,vast,False,10,1,write,4096,False,False,19.266184353624972,3.4587645138205407,192
0,8,24,4,4096,False,vast,False,10,1,write,4096,False,False,25.37701488829188,3.4587645138205407,192
0,8,24,4,4096,False,vast,False,10,1,write,4096,False,False,23.480975410307135,3.4587645138205407,192
0,8,24,4,4096,False,vast,False,10,1,write,4096,False,False,24.66696356843859,3.4587645138205407,192
0,8,24,4,4096,False,vast,False,10,1,write,4096,False,False,29.35939336517634,3.4587645138205407,192
0,8,24,4,4096,False,vast,False,10,1,write,4096,False,False,31.30561408284408,3.4587645138205407,192
0,2,24,4096,4096,False,vast,False,10,1,write,4096,False,False,34.29880786490677,885.4437155380584,48
0,2,24,4096,4096,False,vast,False,10,1,write,4096,False,False,35.366112111583334,885.4437155380584,48
0,2,24,4096,4096,False,vast,False,10,1,write,4096,False,False,35.81314433567302,885.4437155380584,48
0,2,24,4096,4096,False,vast,False,10,1,write,4096,False,False,35.817652810137055,885.4437155380584,48
0,2,24,4096,4096,False,vast,False,10,1,write,4096,False,False,34.172946713233536,885.4437155380584,48
0,2,24,4096,4096,False,vast,False,10,1,write,4096,False,False,33.17395391970466,885.4437155380584,48
0,2,24,4096,4096,False,vast,False,10,1,write,4096,False,False,32.76192419839109,885.4437155380584,48
0,2,24,4096,4096,False,vast,False,10,1,write,4096,False,False,32.21428228189339,885.4437155380584,48
0,2,24,4096,4096,False,vast,False,10,1,write,4096,False,False,31.993838450060277,885.4437155380584,48
0,2,24,4096,4096,False,vast,False,10,1,write,4096,False,False,36.33848875068888,885.4437155380584,48
0,10,24,4,4096,True,vast,False,10,1,write,4096,False,False,1.3698847348599905,4.323455642275675,240
0,10,24,4,4096,True,vast,False,10,1,write,4096,False,False,1.3810311595443594,4.323455642275675,240
0,10,24,4,4096,True,vast,False,10,1,write,4096,False,False,1.3216255155531813,4.323455642275675,240
0,10,24,4,4096,True,vast,False,10,1,write,4096,False,False,1.355133735325564,4.323455642275675,240
0,10,24,4,4096,True,vast,False,10,1,write,4096,False,False,1.3685312630734354,4.323455642275675,240
0,10,24,4,4096,True,vast,False,10,1,write,4096,False,False,1.3804684634544397,4.323455642275675,240
0,10,24,4,4096,True,vast,False,10,1,write,4096,False,False,1.3276561282797368,4.323455642275675,240
0,10,24,4,4096,True,vast,False,10,1,write,4096,False,False,1.2341338282565422,4.323455642275675,240
0,10,24,4,4096,True,vast,False,10,1,write,4096,False,False,1.2504488160398706,4.323455642275675,240
0,10,24,4,4096,True,vast,False,10,1,write,4096,False,False,1.310823840972813,4.323455642275675,240
0,10,24,1024,4096,False,vast,False,10,1,write,4096,False,False,102.56199094273404,1106.804644422573,240
0,10,24,1024,4096,False,vast,False,10,1,write,4096,False,False,104.31173317949573,1106.804644422573,240
0,10,24,1024,4096,False,vast,False,10,1,write,4096,False,False,105.43453841844173,1106.804644422573,240
0,10,24,1024,4096,False,vast,False,10,1,write,4096,False,False,104.62361119437723,1106.804644422573,240
0,10,24,1024,4096,False,vast,False,10,1,write,4096,False,False,103.73182550287257,1106.804644422573,240
